State,City,TotalPopulation,PercentMale,PercentFemale,MedianAge,PercentOver65,PercentWhite,PercentBlack,PercentHispanic,PercentAsian,MedianHouseholdIncome,MeanHouseholdIncome,MedianIncomeFemale,MedianIncomeMale,AverageHouseholdSize, AverageFamilySize ,EdElementaryPercent,EdHighSchoolPercent,EdAssociatePercent,EdBachelorsPercent,EdGraduatePercent,AvgLowTemp,AvgHighTemp,ElectionResults
AR,ElDorado,19077,46.2,53.8,37.7,19.8,44.5,51,3.1,1,28904,47003,26599,41336,2.33,3.04,7.1,31.1,5.8,13.5,7,52.5,72.8,red
AR,Fayetteville,72914,50.2,49.8,27.6,10.1,81.6,7.2,5.5,3.2,35970,58016,32706,42412,2.15,2.88,2.4,20.1,5.1,26.5,17.3,52.5,72.8,red
AR,ForrestCity,15221,55.8,44.2,34.4,11.1,25.3,69.6,4.3,0.4,25373,36184,29546,29601,2.72,3.58,7.7,38,4.8,7,3.3,52.5,72.8,red
AR,FortSmith,85838,49.1,50.9,35.7,15.6,65.7,10.4,15.8,5.2,37340,56633,28341,35711,2.48,3.14,9.1,30.3,7.5,13.4,7.3,52.5,72.8,red
AR,Harrison,12981,47.7,52.3,42.2,24.5,93,0.9,2.8,0.9,33244,51572,27818,31267,2.28,3.03,6.6,38,6.5,10.8,6.3,52.5,72.8,red
AR,HelenaWestHelena,12459,46.1,53.9,31.8,16.8,24.3,75.2,0.2,0.1,25409,36518,24551,30799,2.74,3.37,8.3,31,11.4,8.5,5.2,52.5,72.8,red
AR,Hope,10137,47.8,52.2,30.1,13.7,34.1,45,21.1,0,28798,39191,18588,31987,2.75,3.46,12.8,34.2,4.5,11.4,1.9,52.5,72.8,red
AR,HotSprings,35542,47.6,52.4,44.1,25.9,72.1,17.5,8.2,0.9,31643,45443,29784,32148,2.2,2.97,8,31,7.6,12.2,7.3,52.5,72.8,red
AR,Jacksonville,28498,48.9,51.1,31.5,12.5,57.8,33.5,5.2,2.4,41190,51753,31936,35255,2.54,3.11,2.9,37.7,7,11.6,5.4,52.5,72.8,red
AR,Jonesboro,66096,48.2,51.8,30.5,13.3,73.9,19,4.7,1.5,38415,59877,32617,39056,2.47,3.03,5.5,29.4,5.1,17.9,10.9,52.5,72.8,red
AR,LittleRock,192185,47.5,52.5,34.7,14,46.6,43.1,6.5,2.6,44392,68959,35367,43263,2.37,3.1,4,22.2,5.9,23,15.2,52.5,72.8,red
AR,Magnolia,11588,46.9,53.1,32,17.5,50.5,46.3,1.3,1.6,31384,46373,23500,44333,2.3,2.84,6.3,32.1,5.7,17.9,7.1,52.5,72.8,red
AR,Malvern,10306,52.5,47.5,38.3,18.2,63.1,32.4,3.4,0,32181,43259,27750,32562,2.41,3.15,7.1,39.3,7.5,7.5,2.9,52.5,72.8,red
AR,Marion,11955,50.5,49.5,30.9,7.2,65.8,27.9,5.2,0.2,60278,70001,38941,50365,2.83,3.17,1.9,27.6,5.6,17.9,6,52.5,72.8,red
AR,Maumelle,16438,46.6,53.4,36.3,14.7,80.9,15,1.3,1.9,83388,94445,42172,66029,2.53,3.04,0.7,16.3,8.8,30.4,15.5,52.5,72.8,red
AR,MountainHome,12393,43.2,56.8,50.4,37,94.5,0.8,3.4,0.6,31351,44006,23991,28375,1.99,2.67,5.9,34.5,6.1,9.5,4.5,52.5,72.8,red
AR,NorthLittleRock,62056,48.3,51.7,35.4,15,52.9,39.7,6,1,39228,55883,32523,38028,2.38,3.09,3.9,31.3,5.3,17.6,7.8,52.5,72.8,red
AR,Paragould,25787,48.8,51.2,35.8,17.4,94.5,1.3,2.9,0,37717,46606,28040,33653,2.48,3.05,6.9,43.4,4.7,8.3,4.2,52.5,72.8,red
AR,PineBluff,49441,48,52,33.1,14.8,21.8,75.6,1.8,0.4,31600,43386,28390,36360,2.6,3.4,6.3,35.8,5.2,13.5,5.1,52.5,72.8,red
AR,Rogers,54777,49.7,50.3,31.6,11.2,64.7,1.4,30,1.7,50205,69524,30351,36804,2.8,3.33,14.2,26,5.9,18.2,8.9,52.5,72.8,red
AR,Russellville,27630,49.6,50.4,30.1,14.3,77.2,7.1,12,1.7,37107,51187,27026,38624,2.53,3.16,6.1,32,5,15.5,8.4,52.5,72.8,red
AR,Searcy,22494,48.7,51.3,28,16.8,85.6,9.5,3.2,0.8,39396,52710,28812,42832,2.23,2.82,3.7,33.5,5.7,20,12.7,52.5,72.8,red
AR,Sherwood,29062,47.7,52.3,37.5,15.9,75.1,19.1,3.5,2.4,55859,66009,36693,46911,2.44,3.01,2.6,30.6,6.5,19.2,9.2,52.5,72.8,red
AR,SiloamSprings,14756,49.8,50.2,28.1,12,68.9,2.4,18.5,2.4,42253,52303,26250,36386,2.74,3.23,10.7,31.8,5.9,16.9,6.5,52.5,72.8,red
AR,Springdale,68217,49.6,50.4,29.3,9.8,52.5,2.3,36.1,2.3,41753,55043,26492,31459,2.97,3.48,17,29.9,4.3,12.1,5.2,52.5,72.8,red
AR,Texarkana,29876,49.7,50.3,36.8,15.9,61.5,33.7,2.9,0.6,40351,52429,30094,39899,2.47,3.1,6.3,36.5,6.3,10.5,4.5,52.5,72.8,red
AR,VanBuren,22508,48.8,51.2,33.8,13.4,79.3,3,10.6,2.6,39884,47084,24942,35599,2.56,3.01,8.7,30.7,8.8,11.4,5.1,52.5,72.8,red
AR,WestMemphis,26290,45.9,54.1,33.2,14.1,35.5,62.7,1.4,0.1,29167,41224,27962,35371,2.53,3.13,5.9,38.3,3.8,7.5,2.2,52.5,72.8,red
CA,Adelanto,30670,54.6,45.4,24.4,6.4,18.8,24.7,51.8,2.4,42208,47681,30250,40800,4.06,4.4,16.6,27.3,5.1,5.3,1.6,48.3,73.6,blue
CA,AgouraHills,20353,51.7,48.3,43.2,14.9,78.4,2.2,11.4,6.4,108820,148718,61226,94417,2.83,3.19,1,12.9,8.8,32.7,23.1,48.3,73.6,blue
CA,Alameda,73239,48.1,51.9,40,16,43.3,8.7,11.8,33.1,75832,95314,54502,67022,2.48,3.18,4.9,16.5,7.9,29.5,17.2,48.3,73.6,blue
CA,Albany,18217,47.9,52.1,35.9,12.5,52.6,3.5,9.7,29.1,72479,91854,63994,76776,2.49,3,3,7.2,3.6,32.4,39.1,48.3,73.6,blue
CA,Alhambra,83301,47.8,52.2,39.2,17.8,10.2,2,33.5,53.4,52717,68452,40940,41450,2.86,3.34,12.2,21.6,7.5,20.6,10.2,48.3,73.6,blue
CA,AlisoViejo,47037,47.3,52.7,35.6,6.7,62.7,4.2,17,13.6,99095,114659,60665,78420,2.59,3.24,2.9,12.2,9.9,38.6,15.3,48.3,73.6,blue
CA,AmericanCanyon,18489,47.3,52.7,35.7,11.7,30.4,7.7,24.7,33.4,83581,95986,51235,54958,3.43,3.93,5.4,19.8,11.5,19.7,10.5,48.3,73.6,blue
CA,Anaheim,335057,49.9,50.1,32.1,11.6,27.9,3.1,53,14.6,59330,75006,35782,39517,3.35,3.79,14.4,24.3,6.4,16.4,7,48.3,73.6,blue
CA,Antioch,101118,48.3,51.7,32.9,11.2,35.2,19.6,32.1,9.8,66479,80140,43555,53973,3.25,3.63,7.1,27.7,9.4,14.7,4.8,48.3,73.6,blue
CA,Arcadia,55993,47.4,52.6,41.3,18.7,26.9,1.4,12.9,56.9,77221,107859,52094,66227,2.87,3.34,4.9,14.6,8.5,33.9,19.4,48.3,73.6,blue
CA,Arcata,17118,47.9,52.1,27.4,11.5,74.9,3.6,12.2,3.1,31815,46773,34401,44162,2.24,2.87,4,14.9,8.1,26.7,16.4,48.3,73.6,blue
CA,ArroyoGrande,17132,48.2,51.8,44.4,22.6,77.8,2,12.7,5,64900,83469,39119,61641,2.46,2.91,2.7,22.6,10.7,21.3,12.3,48.3,73.6,blue
